90, 90
1, 1, 15
76, 44, 28
40, 54, 13
49, 64, 12
35, 86, 22
2, 90, 30
18, 53, 20
65, 58, 24
59, 71, 10
51, 32, 12
23, 36, 27
2, 89, 30
54, 65, 12
8, 63, 20
46, 37, 11
9, 15, 15
22, 70, 25
3, 12, 10
32, 39, 21
25, 4, 25
68, 44, 18
2, 2, 30
80, 64, 27
89, 32, 26
10, 58, 23
3, 90, 30
54, 53, 27
68, 50, 19
5, 50, 12
66, 59, 23
37, 13, 22
20, 38, 28
42, 12, 24
15, 73, 29
3, 89, 30
63, 64, 27
9, 75, 12
86, 19, 25
18, 38, 21
82, 46, 19
24, 70, 26
3, 2, 30
11, 37, 22
38, 7, 21
47, 28, 26
72, 80, 30
57, 19, 17
4, 90, 30
3, 14, 11
61, 62, 29
2, 13, 10
55, 29, 19
62, 8, 16
52, 34, 24
78, 23, 22
4, 89, 30
7, 49, 12
40, 82, 14
31, 29, 25
85, 34, 22
58, 54, 29
22, 85, 28
4, 2, 30
39, 73, 13
25, 67, 26
44, 48, 13
71, 88, 25
88, 2, 12
54, 6, 16
18, 72, 24
86, 75, 17
5, 90, 30
90, 89, 11
73, 34, 18
54, 17, 12
85, 49, 15
49, 79, 15
72, 13, 17
5, 89, 30
22, 26, 21
41, 26, 11
60, 41, 27
5, 2, 30
56, 61, 19
57, 39, 19
90, 41, 19
61, 10, 25
6, 90, 30
32, 48, 19
87, 32, 11
68, 89, 17
73, 64, 16
3, 21, 27
2, 40, 29
6, 89, 30
46, 85, 14
47, 77, 16
34, 65, 23
49, 56, 20
15, 11, 30
6, 2, 30
34, 23, 17
63, 10, 24
46, 29, 13
63, 21, 12
65, 66, 24
74, 51, 27
15, 23, 29
89, 44, 30
7, 90, 30
39, 50, 16
41, 77, 13
8, 63, 30
72, 64, 14
11, 17, 29
83, 81, 15
7, 89, 30
19, 26, 19
55, 78, 30
73, 70, 12
7, 2, 30
33, 83, 14
70, 72, 30
88, 5, 11
70, 87, 23
8, 90, 30
35, 58, 18
61, 63, 26
23, 74, 22
18, 18, 16
61, 58, 11
44, 16, 25
8, 89, 30
83, 69, 24
56, 65, 13
34, 30, 14
