1503, 1503
1, 1, 17
518, 1291, 17
834, 439, 19
181, 1388, 19
1344, 951, 30
157, 660, 19
1066, 326, 24
1118, 223, 12
1164, 88, 12
707, 763, 17
2, 1503, 30
13, 1076, 19
44, 747, 27
438, 1167, 19
738, 1498, 12
818, 1277, 26
56, 657, 29
2, 1502, 30
183, 393, 14
968, 955, 12
1455, 729, 21
431, 36, 29
2, 2, 30
556, 1212, 21
196, 1263, 29
688, 826, 14
975, 1145, 15
100, 194, 11
51, 601, 16
3, 1503, 30
406, 1014, 22
223, 813, 14
993, 455, 23
792, 1221, 20
72, 943, 23
883, 208, 28
1145, 833, 18
427, 1358, 17
3, 1502, 30
1079, 1412, 27
97, 968, 23
519, 376, 22
293, 155, 20
3, 2, 30
611, 292, 11
995, 406, 28
398, 908, 18
934, 361, 25
538, 810, 22
1449, 396, 23
1281, 910, 16
776, 59, 25
1188, 199, 18
4, 1503, 30
1302, 789, 17
1495, 277, 19
836, 832, 12
446, 1079, 22
1353, 551, 16
4, 1502, 30
1457, 282, 20
209, 743, 24
1240, 112, 12
1105, 1000, 27
879, 556, 24
416, 288, 13
405, 487, 12
573, 171, 23
1101, 361, 20
1109, 820, 22
4, 2, 30
965, 607, 20
753, 470, 16
450, 453, 13
1069, 234, 24
498, 717, 11
1375, 602, 17
702, 730, 14
125, 890, 27
1144, 612, 25
5, 1503, 30
543, 629, 24
116, 66, 20
34, 921, 29
644, 75, 19
850, 26, 22
5, 1502, 30
220, 1274, 18
1499, 158, 13
1182, 267, 24
1138, 457, 25
5, 2, 30
1096, 9, 11
792, 1378, 14
779, 1421, 30
901, 1300, 26
1089, 271, 23
302, 1216, 30
232, 1021, 24
124, 360, 28
6, 1503, 30
544, 1169, 22
84, 934, 11
228, 748, 13
127, 136, 19
1033, 140, 30
1134, 235, 24
638, 1247, 30
590, 1369, 20
6, 1502, 30
73, 419, 27
1458, 615, 17
26, 1500, 29
6, 974, 20
6, 2, 30
1031, 1374, 17
543, 1235, 10
1043, 927, 24
903, 438, 28
7, 1503, 30
146, 1214, 19
296, 72, 21
587, 1281, 30
7, 1502, 30
1021, 1356, 22
513, 945, 11
694, 1467, 16
7, 2, 30
794, 333, 26
981, 10, 19
984, 116, 21
710, 923, 23
1228, 183, 30
561, 1031, 17
267, 935, 24
677, 887, 27
8, 1503, 30
477, 1458, 21
145, 338, 20
392, 1070, 27
1045, 239, 22
441, 874, 17
8, 1502, 30
282, 432, 29
782, 578, 29
1252, 703, 14
1150, 618, 24
1312, 1346, 15
193, 1261, 22
8, 2, 30
635, 1463, 28
54, 271, 17
1047, 165, 24
41, 1492, 23
606, 90, 24
1491, 133, 30
636, 473, 22
179, 792, 15
1003, 1220, 25
9, 1503, 30
1376, 1495, 10
282, 798, 18
511, 1335, 20
145, 736, 25
9, 1502, 30
841, 1340, 12
1225, 1351, 14
923, 1485, 15
139, 97, 14
1009, 306, 14
9, 2, 30
431, 1400, 24
376, 759, 10
1119, 894, 28
1040, 147, 15
908, 925, 12
383, 770, 25
672, 1422, 30
898, 945, 11
930, 163, 30
267, 1367, 20
10, 1503, 30
949, 222, 22
1405, 865, 16
251, 40, 13
900, 58, 24
10, 1502, 30
513, 1334, 20
884, 1178, 14
531, 406, 30
1488, 252, 13
840, 799, 14
17, 376, 25
664, 281, 12
950, 190, 16
10, 2, 30
1465, 1483, 28
39, 981, 12
1031, 608, 14
314, 529, 19
884, 728, 19
11, 1503, 30
1271, 1001, 24
1118, 964, 12
422, 1065, 25
360, 726, 10
156, 1387, 16
1455, 883, 21
370, 429, 23
11, 1502, 30
1413, 1029, 29
28, 348, 24
1116, 1205, 10
11, 2, 30
32, 1015, 17
655, 1387, 13
391, 938, 26
902, 1376, 18
486, 629, 29
423, 949, 22
908, 135, 29
12, 1503, 30
362, 913, 25
67, 1078, 29
131, 862, 28
1459, 657, 21
469, 94, 24
564, 1169, 26
160, 750, 26
891, 1017, 19
12, 1502, 30
112, 1321, 21
115, 317, 16
201, 286, 16
733, 893, 11
1111, 166, 12
1125, 142, 12
12, 2, 30
245, 1105, 21
948, 301, 11
1337, 991, 22
271, 867, 30
1327, 396, 10
423, 725, 19
1264, 865, 13
483, 681, 29
1247, 1197, 27
13, 1503, 30
1174, 669, 29
313, 394, 11
1395, 862, 22
494, 970, 26
792, 832, 25
1011, 1007, 11
748, 977, 26
456, 219, 27
787, 1053, 21
1101, 647, 12
13, 1502, 30
1121, 1446, 27
1418, 1482, 10
167, 333, 17
994, 870, 10
1052, 168, 17
13, 2, 30
245, 840, 22
249, 1203, 25
36, 1431, 16
1338, 443, 11
1310, 1340, 13
14, 1503, 30
106, 355, 15
640, 985, 28
798, 719, 19
850, 760, 20
889, 578, 11
14, 1502, 30
836, 1124, 21
1113, 1343, 17
590, 601, 30
13, 1247, 18
14, 2, 30
624, 1215, 27
1167, 349, 11
330, 289, 13
1084, 1309, 28
1202, 816, 21
40, 1442, 27
1151, 189, 15
326, 1491, 24
15, 1503, 30
1112, 1398, 22
370, 528, 30
36, 1090, 24
15, 1502, 30
1056, 1474, 27
807, 706, 24
1049, 1228, 29
15, 2, 30
738, 733, 12
972, 56, 18
43, 987, 12
729, 112, 27
379, 639, 19
1032, 914, 11
829, 1350, 30
939, 316, 28
312, 1040, 20
16, 1503, 30
1241, 469, 27
1352, 323, 12
29, 134, 22
16, 1502, 30
1172, 847, 28
1186, 379, 26
1338, 1150, 24
343, 274, 14
1347, 277, 13
1254, 83, 21
560, 951, 19
1050, 992, 16
175, 1074, 30
225, 1460, 17
16, 2, 30
1237, 1123, 17
67, 385, 10
365, 720, 17
17, 1503, 30
