4000, 4000
1, 1, 19
3977, 2774, 29
3852, 1409, 21
3670, 690, 18
3689, 361, 18
1630, 172, 30
3681, 1395, 19
2970, 2290, 13
446, 3332, 15
1689, 939, 15
2, 4000, 30
1509, 845, 18
151, 1905, 23
1340, 1623, 10
1044, 3238, 28
2977, 643, 26
1705, 3528, 13
2578, 3480, 25
2592, 2019, 16
2, 3999, 30
1642, 2829, 11
1764, 1322, 23
2512, 2606, 18
3371, 2319, 20
2808, 490, 23
3387, 2569, 17
1019, 3918, 14
2, 2, 30
3256, 2340, 30
1341, 1277, 29
800, 2796, 19
437, 867, 27
393, 578, 30
323, 3954, 26
960, 72, 24
2275, 1320, 23
2561, 716, 24
3262, 2073, 10
3, 4000, 30
2423, 2083, 15
2247, 1817, 26
1799, 2923, 30
2005, 3173, 26
1214, 2120, 15
2702, 1603, 11
3, 3999, 30
897, 2807, 19
2432, 1581, 12
2370, 3889, 20
13, 928, 10
309, 1944, 19
3, 2, 30
3530, 1898, 20
2652, 2045, 14
2486, 1163, 16
3711, 2688, 25
2721, 1238, 14
2784, 3313, 26
2207, 3435, 14
3201, 815, 20
4, 4000, 30
1753, 892, 17
2311, 63, 21
2708, 2706, 30
3181, 2394, 22
370, 246, 14
373, 801, 26
3107, 1818, 20
3478, 1591, 13
3694, 903, 18
4, 3999, 30
613, 2637, 11
2156, 637, 26
3864, 1191, 26
516, 3416, 17
4, 2, 30
3373, 3014, 30
3466, 1411, 12
2399, 211, 28
3355, 1852, 21
1121, 2317, 27
1050, 2506, 15
3621, 3035, 15
312, 2752, 16
5, 4000, 30
1691, 3339, 15
2917, 2754, 10
1673, 676, 29
3525, 3586, 14
2420, 1143, 17
2049, 3121, 10
2555, 3211, 25
3707, 2346, 19
1946, 2035, 12
5, 3999, 30
1884, 2986, 19
1401, 705, 24
2332, 3751, 24
1787, 2201, 30
907, 1861, 20
1359, 1435, 22
1861, 1962, 18
2655, 971, 10
1535, 3932, 27
5, 2, 30
3494, 1217, 10
249, 1592, 16
1755, 3460, 12
1014, 310, 30
800, 2203, 16
2074, 1425, 30
76, 456, 17
3042, 862, 12
2754, 2723, 13
3328, 1342, 30
6, 4000, 30
1445, 1783, 15
266, 55, 18
234, 1278, 29
3116, 1802, 23
601, 625, 11
6, 3999, 30
1701, 2452, 20
1347, 778, 25
2284, 2870, 23
2076, 1297, 25
659, 3830, 16
1653, 2903, 17
2912, 2717, 17
2112, 3512, 27
4000, 182, 15
6, 2, 30
1462, 1458, 16
3291, 1845, 13
3126, 466, 14
2453, 3536, 12
1847, 2054, 21
2848, 430, 19
1193, 2123, 13
1675, 1974, 25
1591, 3581, 18
566, 3263, 10
7, 4000, 30
3489, 3749, 23
1310, 3965, 29
3384, 806, 11
1977, 1766, 27
1351, 1004, 19
1788, 1183, 13
7, 3999, 30
2055, 2867, 11
2839, 3598, 23
2596, 1070, 14
3590, 1805, 28
1932, 1913, 16
556, 3672, 14
233, 1903, 10
867, 1445, 29
3949, 1423, 29
7, 2, 30
3389, 1945, 28
2802, 2131, 30
3743, 3364, 29
1147, 219, 16
8, 4000, 30
1777, 3822, 19
2708, 2443, 29
814, 565, 18
2403, 570, 27
640, 2261, 10
1944, 717, 27
137, 356, 26
8, 3999, 30
1307, 3376, 12
144, 610, 15
3685, 3430, 28
186, 3660, 14
904, 787, 27
301, 1101, 26
2347, 1040, 18
112, 480, 20
8, 2, 30
103, 412, 17
3669, 2138, 24
1659, 644, 24
899, 1402, 10
2033, 3709, 12
2856, 1689, 27
9, 4000, 30
3842, 1370, 30
794, 3428, 29
2186, 679, 12
3549, 283, 15
692, 2800, 28
9, 3999, 30
1492, 2653, 16
2488, 3157, 24
353, 859, 19
9, 2, 30
2339, 140, 13
2182, 628, 26
1634, 686, 28
2553, 1126, 15
2545, 798, 17
1398, 3346, 21
2278, 3821, 22
253, 63, 18
725, 2801, 12
10, 4000, 30
1961, 3869, 15
3684, 3518, 26
2056, 676, 29
1220, 1841, 16
3751, 73, 15
3226, 2059, 16
10, 3999, 30
2901, 3045, 13
2384, 3541, 23
1761, 3297, 19
248, 3835, 23
1796, 162, 12
163, 9, 27
2656, 3791, 23
2563, 1106, 21
2463, 1273, 29
10, 2, 30
2187, 2652, 24
3445, 3684, 28
1659, 1053, 23
900, 3731, 17
2813, 3284, 15
3378, 596, 18
3333, 449, 24
1948, 2257, 23
3129, 206, 14
3089, 1664, 17
11, 4000, 30
419, 2971, 15
893, 258, 17
3588, 66, 28
3801, 3500, 25
2575, 1921, 28
11, 3999, 30
209, 135, 30
823, 3389, 12
1697, 2715, 17
3149, 2672, 14
2625, 280, 11
2786, 1435, 20
2311, 1228, 19
11, 2, 30
2149, 2643, 25
1383, 819, 30
3208, 3190, 17
630, 1734, 25
1097, 2453, 14
12, 4000, 30
3726, 2676, 22
3854, 3759, 23
2005, 980, 23
2975, 1569, 14
3736, 409, 21
123, 1393, 17
12, 3999, 30
1086, 254, 10
1486, 2530, 13
1416, 35, 17
1504, 2712, 21
749, 1823, 12
1270, 3202, 28
1354, 2077, 11
3345, 3925, 10
306, 2217, 13
12, 2, 30
3454, 2835, 12
660, 1910, 16
3614, 1734, 16
3837, 3409, 17
13, 4000, 30
3465, 2405, 30
1507, 2695, 25
3087, 164, 24
13, 3999, 30
638, 728, 18
3733, 1256, 23
2899, 1277, 20
2456, 3555, 29
2754, 2553, 12
2835, 3266, 16
13, 2, 30
1970, 3185, 15
216, 3275, 25
1673, 3286, 20
1403, 1935, 10
929, 3285, 23
1022, 1955, 26
14, 4000, 30
2799, 2288, 30
2420, 3152, 19
1636, 3088, 21
14, 3999, 30
2053, 589, 28
3155, 780, 27
1275, 2573, 29
77, 1185, 16
10, 3619, 22
2357, 1642, 11
1278, 1450, 28
243, 157, 14
14, 2, 30
981, 3821, 27
734, 1467, 29
685, 3109, 21
3695, 2984, 28
2735, 3772, 17
3685, 3958, 13
2444, 1696, 26
3255, 3988, 27
3149, 1074, 19
3959, 2151, 21
15, 4000, 30
3044, 2665, 13
2647, 583, 28
1320, 1605, 10
3689, 2372, 28
122, 928, 22
963, 700, 12
1419, 320, 17
15, 3999, 30
2066, 1706, 24
2132, 217, 17
3085, 3730, 22
3715, 567, 29
3543, 2823, 29
15, 2, 30
834, 1812, 23
2747, 54, 25
3331, 1838, 14
723, 1161, 23
3690, 1507, 30
16, 4000, 30
2607, 1622, 15
657, 1180, 16
2708, 2423, 20
3780, 3081, 14
2607, 3697, 24
3079, 1501, 28
1213, 2608, 15
3318, 2734, 15
16, 3999, 30
2684, 1449, 16
73, 728, 23
2494, 2779, 29
3591, 2153, 18
232, 2878, 10
16, 2, 30
3610, 2484, 12
1557, 1354, 25
502, 631, 14
2888, 2881, 24
1210, 1957, 16
3784, 884, 16
1923, 3294, 29
177, 2073, 25
249, 3320, 14
17, 4000, 30
3929, 3739, 21
2474, 3992, 23
3550, 3801, 22
1365, 2776, 24
17, 3999, 30
3025, 1570, 27
711, 3690, 30
1754, 2173, 21
1758, 3154, 17
3056, 28, 19
3396, 1671, 12
810, 574, 25
769, 3575, 18
3994, 87, 10
17, 2, 30
2830, 116, 29
2035, 1548, 23
144, 775, 20
2737, 855, 15
18, 4000, 30
2425, 2314, 28
3992, 3080, 29
3870, 3033, 29
2033, 3202, 23
1732, 1385, 16
1175, 2616, 12
1076, 2670, 24
18, 3999, 30
2186, 920, 18
2257, 3975, 29
3661, 3, 15
18, 2, 30
3819, 381, 24
2519, 3118, 17
3951, 94, 21
3418, 3932, 25
19, 4000, 30
3499, 968, 29
2662, 2965, 19
3397, 1098, 23
3739, 3175, 24
3542, 1911, 26
19, 3999, 30
1600, 2710, 15
1554, 142, 11
2331, 1472, 16
493, 1470, 19
1271, 2517, 14
3819, 3025, 23
3815, 586, 27
19, 2, 30
3827, 1222, 15
1290, 3213, 21
3066, 3804, 28
830, 700, 24
20, 4000, 30
72, 3112, 29
3455, 2960, 28
2758, 828, 21
3174, 1621, 23
937, 106, 18
234, 1876, 30
407, 2202, 12
20, 3999, 30
3337, 147, 10
1962, 3041, 20
2397, 1603, 30
3997, 324, 19
3126, 3421, 28
3284, 357, 11
1753, 3908, 10
2095, 2301, 14
20, 2, 30
1276, 3115, 24
1913, 2591, 27
1031, 682, 16
100, 3435, 15
2918, 2321, 24
2134, 1283, 25
2543, 710, 14
21, 4000, 30
3007, 3499, 21
3171, 1456, 18
3838, 788, 25
3520, 796, 19
3326, 1810, 24
1816, 409, 14
21, 3999, 30
2372, 2582, 24
339, 369, 28
