90, 105
1, 1, 12
54, 7, 12
20, 95, 15
86, 15, 16
12, 74, 24
45, 50, 18
68, 54, 24
12, 49, 25
30, 51, 30
34, 90, 20
25, 73, 11
37, 80, 28
59, 93, 20
21, 103, 20
10, 85, 11
75, 17, 22
83, 36, 25
46, 84, 29
37, 39, 23
40, 86, 24
51, 11, 14
62, 3, 12
78, 23, 30
58, 62, 10
53, 64, 20
75, 31, 28
5, 40, 16
56, 98, 11
49, 24, 18
63, 87, 17
62, 17, 12
52, 48, 27
34, 78, 30
21, 84, 19
41, 17, 28
41, 41, 23
72, 76, 14
79, 30, 26
22, 7, 13
43, 70, 18
45, 45, 14
38, 67, 13
62, 45, 22
76, 100, 26
53, 92, 18
86, 49, 20
75, 94, 16
76, 65, 10
61, 86, 27
4, 59, 18
83, 28, 11
52, 59, 22
4, 48, 17
46, 100, 26
75, 8, 15
87, 9, 19
69, 105, 20
66, 75, 24
73, 11, 18
56, 83, 19
52, 104, 29
24, 45, 25
24, 97, 25
86, 35, 14
30, 71, 29
50, 12, 16
33, 96, 30
66, 21, 16
77, 61, 27
19, 32, 16
42, 90, 23
50, 80, 29
29, 9, 20
27, 57, 24
38, 92, 26
83, 56, 15
46, 64, 30
21, 61, 13
33, 53, 12
40, 87, 11
50, 70, 25
69, 52, 11
89, 105, 12
58, 67, 25
51, 3, 23
74, 74, 10
20, 59, 11
80, 74, 26
24, 66, 10
74, 51, 11
36, 61, 13
34, 16, 22
37, 26, 29
80, 64, 17
15, 70, 13
61, 21, 21
44, 26, 16
17, 54, 12
35, 77, 21
84, 84, 13
62, 26, 16
87, 82, 16
38, 5, 14
35, 77, 20
43, 35, 16
22, 49, 11
21, 78, 26
4, 44, 20
31, 7, 25
47, 13, 11
70, 40, 16
73, 68, 17
15, 43, 27
4, 97, 21
7, 30, 13
