90, 105
1, 1, 13
21, 78, 12
48, 89, 10
79, 69, 23
29, 91, 28
60, 93, 16
2, 99, 30
63, 33, 10
70, 25, 15
43, 20, 26
2, 4, 30
17, 36, 18
2, 2, 15
21, 86, 29
84, 32, 16
69, 102, 12
51, 51, 18
3, 99, 30
88, 36, 15
3, 104, 12
33, 85, 23
80, 17, 10
11, 16, 19
82, 93, 11
10, 50, 20
63, 69, 15
3, 4, 30
9, 71, 28
49, 46, 14
75, 98, 10
8, 40, 24
15, 105, 30
29, 101, 17
4, 99, 30
55, 44, 23
88, 17, 13
65, 69, 18
4, 4, 30
2, 99, 18
85, 73, 25
63, 21, 23
55, 7, 12
7, 66, 21
48, 52, 10
31, 18, 28
57, 38, 18
5, 99, 30
43, 64, 12
80, 97, 29
52, 99, 25
14, 16, 25
17, 71, 19
39, 65, 17
75, 17, 21
5, 4, 30
20, 63, 29
35, 16, 13
35, 66, 21
6, 99, 30
46, 65, 17
84, 87, 13
48, 57, 29
79, 22, 18
69, 30, 16
89, 58, 25
6, 4, 30
46, 30, 12
70, 28, 12
11, 74, 25
39, 17, 28
32, 47, 14
85, 87, 26
7, 99, 30
68, 49, 29
14, 36, 10
66, 27, 23
7, 4, 30
25, 74, 30
40, 87, 11
70, 86, 29
41, 85, 15
14, 62, 13
32, 18, 29
33, 94, 26
20, 17, 18
57, 49, 19
20, 36, 19
8, 99, 30
15, 21, 23
19, 8, 14
9, 32, 22
8, 4, 30
43, 55, 13
67, 74, 18
57, 83, 14
59, 55, 21
33, 50, 14
19, 75, 15
30, 50, 29
31, 37, 10
23, 94, 22
52, 84, 22
9, 99, 30
72, 7, 22
81, 67, 25
9, 62, 19
76, 86, 21
77, 25, 21
76, 98, 26
55, 14, 15
80, 17, 27
9, 4, 30
55, 52, 20
31, 14, 15
17, 61, 25
17, 78, 17
3, 47, 30
76, 97, 15
11, 12, 12
8, 29, 11
10, 99, 30
25, 57, 22
3, 24, 10
60, 51, 30
31, 3, 14
4, 57, 27
24, 60, 24
10, 4, 30
63, 6, 14
39, 6, 16
77, 46, 21
79, 2, 22
11, 99, 30
35, 21, 24
68, 81, 29
33, 84, 27
59, 98, 22
47, 60, 18
12, 2, 21
9, 84, 15
20, 69, 14
54, 99, 25
11, 4, 30
22, 7, 21
27, 97, 18
62, 35, 27
6, 73, 21
30, 20, 27
49, 28, 15
53, 89, 21
12, 99, 30
37, 94, 29
53, 41, 25
31, 53, 27
54, 85, 29
85, 81, 10
89, 57, 18
52, 14, 17
30, 96, 27
15, 85, 10
58, 83, 13
12, 4, 30
46, 38, 12
61, 19, 20
65, 98, 30
13, 99, 30
50, 16, 30
57, 87, 30
47, 26, 28
6, 22, 17
17, 30, 12
11, 11, 15
27, 73, 27
46, 105, 11
13, 4, 30
20, 78, 20
15, 51, 24
35, 17, 22
11, 14, 11
56, 9, 11
14, 99, 30
2, 54, 28
82, 51, 11
83, 67, 22
6, 102, 16
67, 105, 16
60, 77, 20
25, 8, 10
43, 90, 17
26, 46, 14
14, 4, 30
7, 37, 14
40, 75, 18
48, 42, 20
86, 18, 10
32, 74, 30
73, 105, 24
81, 73, 28
68, 55, 11
15, 99, 30
66, 98, 18
29, 43, 21
64, 102, 25
52, 23, 10
67, 3, 28
22, 9, 16
43, 101, 12
15, 4, 30
78, 14, 11
61, 100, 21
43, 52, 16
62, 70, 19
47, 90, 27
53, 34, 23
82, 35, 19
19, 86, 17
16, 99, 30
69, 15, 12
19, 50, 29
12, 65, 21
90, 104, 19
82, 67, 29
27, 40, 27
38, 7, 20
82, 83, 24
48, 94, 10
16, 4, 30
49, 79, 22
40, 76, 12
43, 4, 30
17, 99, 30
82, 105, 24
76, 81, 13
34, 87, 19
53, 28, 21
87, 27, 15
35, 85, 14
81, 90, 26
27, 42, 22
60, 45, 24
17, 4, 30
41, 86, 17
45, 72, 29
60, 77, 27
18, 99, 30
19, 7, 25
36, 21, 21
33, 57, 13
5, 14, 23
89, 16, 25
11, 52, 22
39, 3, 15
40, 3, 17
67, 62, 11
18, 4, 30
37, 96, 22
60, 10, 10
3, 105, 29
38, 61, 27
43, 36, 27
19, 99, 30
2, 87, 15
25, 77, 20
66, 75, 10
8, 97, 12
19, 4, 30
38, 83, 16
82, 64, 12
13, 91, 10
67, 19, 21
28, 80, 10
78, 25, 30
3, 17, 12
65, 79, 17
20, 99, 30
35, 75, 29
18, 20, 17
78, 91, 13
11, 95, 29
64, 55, 20
11, 84, 18
20, 4, 30
6, 13, 18
9, 82, 26
42, 59, 22
81, 53, 20
79, 30, 30
61, 82, 21
35, 51, 30
38, 47, 21
20, 78, 24
21, 99, 30
67, 91, 21
68, 2, 12
10, 65, 14
21, 4, 30
57, 101, 11
84, 19, 17
23, 34, 10
22, 99, 30
81, 80, 23
8, 58, 21
45, 52, 26
87, 86, 11
67, 70, 10
80, 46, 14
31, 8, 25
22, 4, 30
67, 60, 20
70, 39, 16
15, 65, 12
68, 56, 18
23, 99, 30
48, 8, 10
87, 25, 27
17, 56, 22
66, 75, 14
46, 66, 15
61, 45, 29
68, 26, 24
63, 17, 13
27, 51, 12
23, 4, 30
39, 64, 27
6, 55, 26
19, 104, 11
90, 97, 17
39, 18, 26
90, 51, 22
88, 104, 27
24, 99, 30
50, 96, 10
14, 24, 13
20, 85, 20
61, 43, 30
59, 103, 11
33, 50, 10
36, 91, 13
33, 54, 28
24, 4, 30
9, 40, 21
73, 67, 19
52, 58, 19
49, 79, 13
66, 54, 29
59, 24, 23
67, 103, 20
20, 17, 16
28, 12, 19
74, 98, 15
25, 99, 30
3, 71, 25
15, 52, 10
84, 14, 16
50, 17, 23
25, 4, 30
30, 74, 21
4, 13, 14
64, 37, 20
33, 100, 12
26, 33, 12
44, 44, 25
76, 27, 28
25, 42, 29
26, 99, 30
46, 55, 11
4, 48, 18
33, 41, 22
13, 43, 30
26, 4, 30
61, 70, 23
57, 64, 27
45, 8, 13
18, 30, 21
23, 4, 12
12, 36, 30
75, 24, 14
22, 8, 17
27, 99, 30
54, 44, 20
51, 13, 16
55, 36, 16
24, 64, 26
35, 21, 29
27, 4, 30
10, 9, 28
8, 52, 18
16, 34, 20
83, 47, 13
10, 17, 25
88, 96, 30
49, 19, 22
89, 46, 25
19, 10, 25
6, 102, 22
28, 99, 30
70, 85, 26
62, 59, 23
4, 63, 20
71, 2, 30
67, 35, 26
53, 2, 24
63, 16, 10
16, 92, 28
74, 99, 28
44, 82, 19
28, 4, 30
86, 75, 18
52, 56, 12
37, 49, 13
9, 73, 17
63, 69, 26
29, 41, 17
