90, 90
1, 1, 14
38, 46, 16
33, 35, 21
19, 57, 23
73, 14, 26
34, 72, 13
2, 2, 30
27, 12, 14
17, 68, 28
21, 20, 10
37, 62, 20
8, 2, 14
20, 67, 16
2, 3, 30
43, 57, 15
17, 85, 29
66, 20, 16
53, 6, 16
72, 86, 21
83, 18, 13
58, 61, 10
8, 26, 26
3, 2, 30
12, 42, 14
29, 16, 17
62, 59, 16
40, 55, 29
86, 73, 19
55, 48, 11
3, 3, 30
19, 62, 30
13, 88, 13
73, 37, 26
54, 60, 30
3, 4, 30
15, 3, 13
14, 46, 17
10, 72, 26
39, 82, 26
34, 64, 10
26, 5, 13
78, 30, 28
48, 80, 14
23, 52, 30
4, 3, 30
75, 24, 19
56, 80, 13
23, 39, 24
62, 66, 20
4, 4, 30
39, 48, 28
51, 11, 27
17, 77, 21
4, 5, 30
74, 6, 13
15, 83, 18
73, 78, 26
50, 41, 19
79, 53, 15
69, 70, 14
63, 58, 21
5, 4, 30
76, 11, 17
32, 37, 26
62, 51, 11
57, 29, 23
41, 36, 24
9, 73, 25
36, 22, 23
57, 46, 22
5, 5, 30
23, 21, 17
54, 62, 20
39, 29, 30
82, 63, 18
84, 42, 20
65, 52, 20
21, 40, 20
24, 81, 25
55, 48, 23
5, 6, 30
59, 8, 30
9, 49, 14
60, 58, 13
39, 61, 10
6, 5, 30
90, 40, 16
56, 31, 13
47, 77, 15
4, 10, 11
32, 14, 13
2, 18, 21
64, 38, 10
32, 74, 19
50, 46, 10
6, 6, 30
24, 79, 18
45, 72, 21
87, 36, 13
5, 52, 17
35, 28, 30
6, 7, 30
16, 27, 25
36, 50, 25
39, 19, 27
78, 48, 30
40, 11, 16
72, 30, 18
10, 28, 14
62, 11, 12
37, 78, 20
62, 34, 25
7, 6, 30
81, 5, 27
65, 70, 30
46, 53, 16
55, 31, 30
12, 55, 12
52, 50, 14
75, 35, 21
7, 7, 30
35, 25, 27
13, 52, 12
8, 16, 28
55, 48, 11
35, 27, 26
7, 8, 30
85, 22, 15
73, 41, 19
18, 46, 12
3, 13, 15
55, 57, 19
29, 8, 14
49, 27, 22
61, 7, 24
68, 55, 15
51, 55, 29
8, 7, 30
2, 68, 18
29, 58, 13
16, 23, 13
64, 6, 24
24, 36, 19
56, 65, 12
71, 14, 27
8, 8, 30
8, 86, 23
87, 81, 11
48, 72, 23
73, 5, 16
4, 20, 29
71, 71, 14
52, 31, 10
8, 9, 30
69, 47, 17
35, 36, 16
81, 47, 23
20, 89, 10
84, 27, 11
9, 8, 30
2, 77, 12
19, 51, 27
83, 86, 19
74, 79, 26
9, 9, 30
60, 41, 15
76, 40, 27
54, 64, 14
7, 81, 13
42, 7, 25
3, 11, 23
9, 10, 30
52, 46, 24
80, 43, 15
12, 17, 22
20, 54, 18
4, 38, 11
15, 64, 18
25, 76, 30
70, 38, 17
10, 9, 30
72, 3, 17
69, 6, 25
86, 26, 25
65, 77, 23
45, 4, 26
36, 88, 24
6, 46, 29
72, 29, 27
10, 10, 30
31, 56, 25
68, 59, 14
11, 55, 16
6, 46, 12
10, 11, 30
51, 39, 20
37, 14, 22
57, 75, 16
28, 86, 12
42, 29, 30
11, 10, 30
30, 23, 26
26, 47, 27
75, 47, 30
14, 28, 29
87, 60, 25
66, 55, 30
11, 11, 30
17, 28, 25
21, 74, 25
89, 75, 27
11, 12, 30
5, 36, 11
40, 18, 22
24, 25, 29
12, 11, 30
80, 67, 28
18, 47, 18
83, 17, 11
12, 12, 30
40, 56, 11
78, 47, 17
60, 35, 18
35, 52, 17
12, 13, 30
20, 81, 17
8, 73, 14
76, 12, 20
11, 8, 11
9, 55, 12
40, 27, 25
78, 51, 23
41, 18, 22
30, 5, 19
2, 49, 22
13, 12, 30
7, 62, 25
66, 31, 30
41, 43, 25
29, 11, 14
81, 17, 10
72, 49, 12
31, 48, 29
52, 56, 15
13, 13, 30
40, 2, 21
70, 78, 24
67, 57, 11
80, 74, 11
20, 10, 24
49, 79, 14
39, 78, 25
13, 14, 30
53, 77, 24
29, 13, 17
6, 9, 24
14, 13, 30
75, 77, 11
67, 52, 10
38, 14, 25
70, 83, 28
14, 14, 30
62, 50, 14
40, 50, 28
37, 73, 24
90, 11, 14
62, 83, 28
30, 41, 26
73, 28, 11
86, 9, 17
44, 14, 15
87, 45, 22
14, 15, 30
17, 82, 10
61, 77, 18
29, 25, 20
78, 12, 14
71, 10, 29
27, 34, 17
46, 63, 12
54, 70, 23
82, 64, 10
7, 29, 22
15, 14, 30
30, 64, 17
25, 28, 27
56, 22, 20
39, 52, 19
15, 15, 30
48, 31, 20
85, 55, 26
54, 77, 20
74, 52, 14
13, 35, 20
4, 90, 25
15, 16, 30
14, 64, 15
67, 43, 22
58, 24, 17
85, 6, 29
89, 32, 24
48, 38, 23
11, 72, 14
74, 6, 10
28, 38, 11
16, 15, 30
50, 18, 17
86, 37, 25
72, 53, 26
9, 13, 19
16, 16, 30
11, 70, 17
43, 47, 12
20, 16, 29
20, 66, 10
17, 39, 26
39, 36, 27
3, 87, 30
62, 47, 24
83, 56, 14
84, 14, 27
16, 17, 30
90, 26, 25
23, 10, 28
5, 44, 20
15, 20, 22
85, 90, 22
90, 17, 16
9, 26, 22
17, 16, 30
19, 53, 28
32, 38, 19
60, 23, 27
6, 36, 23
17, 17, 30
43, 31, 29
78, 33, 20
89, 45, 13
5, 61, 12
44, 21, 15
37, 82, 27
4, 15, 27
40, 56, 20
60, 90, 15
17, 18, 30
48, 79, 26
75, 55, 14
4, 18, 11
71, 27, 11
18, 17, 30
11, 69, 16
36, 58, 23
33, 80, 27
