2000, 2000
1, 1, 18
99, 31, 21
339, 302, 27
1489, 574, 15
2, 2000, 30
1090, 1112, 11
812, 197, 21
572, 1724, 11
180, 235, 12
2, 1999, 30
1323, 96, 11
738, 471, 24
692, 110, 21
1252, 398, 20
1733, 492, 13
914, 1190, 14
1564, 306, 10
428, 1007, 30
1333, 427, 29
2, 2, 30
1690, 1278, 27
1035, 1166, 29
272, 1662, 18
1691, 944, 15
1319, 1404, 10
690, 144, 29
3, 2000, 30
1261, 1873, 15
1438, 292, 14
512, 1163, 19
1296, 1265, 10
243, 1967, 29
1057, 1610, 14
153, 229, 22
3, 1999, 30
1173, 50, 24
376, 1591, 13
524, 1354, 10
369, 987, 27
373, 874, 29
3, 2, 30
94, 1206, 10
595, 3, 14
962, 1764, 17
1844, 869, 29
276, 595, 12
1486, 1368, 30
407, 1558, 15
872, 306, 14
4, 2000, 30
599, 994, 18
881, 1398, 15
1618, 1229, 30
466, 1803, 12
1308, 1537, 23
1479, 1175, 10
255, 1692, 27
99, 1305, 15
1674, 803, 24
4, 1999, 30
1269, 1241, 15
1381, 681, 21
180, 275, 11
1220, 665, 12
485, 262, 13
942, 1938, 12
504, 611, 16
1805, 1633, 17
1262, 1545, 29
4, 2, 30
815, 475, 22
712, 1612, 14
1582, 1014, 12
1866, 1398, 18
563, 591, 20
226, 127, 27
1426, 1708, 10
206, 1563, 15
5, 2000, 30
40, 1411, 12
731, 517, 14
1907, 1149, 28
291, 915, 18
999, 703, 15
470, 1135, 26
883, 406, 23
462, 1309, 25
5, 1999, 30
691, 570, 24
633, 1485, 27
1986, 1118, 28
111, 1396, 10
5, 2, 30
523, 1248, 29
992, 947, 19
845, 552, 11
1692, 389, 25
288, 984, 19
1040, 753, 22
1005, 1948, 17
1136, 446, 12
304, 1048, 20
1774, 1432, 21
6, 2000, 30
372, 160, 22
16, 744, 17
1733, 480, 25
1540, 1788, 30
1564, 1048, 11
905, 757, 30
802, 711, 14
529, 266, 22
1758, 686, 21
1136, 602, 17
6, 1999, 30
574, 518, 17
259, 634, 14
1372, 731, 13
6, 2, 30
331, 1420, 26
184, 885, 21
575, 23, 17
14, 402, 11
1208, 264, 25
992, 1343, 25
1774, 1137, 13
7, 2000, 30
561, 1500, 26
118, 119, 16
132, 612, 20
1572, 353, 24
371, 311, 18
1902, 1018, 16
562, 1844, 22
1168, 47, 22
1130, 1833, 30
7, 1999, 30
1480, 763, 11
183, 1847, 14
1017, 730, 12
264, 160, 22
1499, 59, 20
144, 369, 20
330, 1641, 27
374, 714, 27
855, 136, 30
52, 981, 21
7, 2, 30
1570, 118, 11
800, 519, 12
118, 1944, 21
1050, 938, 28
1412, 1025, 26
469, 1318, 30
1283, 11, 29
1908, 171, 12
972, 1220, 25
8, 2000, 30
512, 634, 27
1410, 803, 18
1485, 1926, 18
979, 1634, 27
1873, 415, 10
316, 262, 12
327, 475, 27
1117, 1953, 15
1889, 1051, 29
653, 812, 22
8, 1999, 30
1938, 367, 17
1463, 476, 11
1542, 653, 24
450, 750, 28
203, 455, 29
1586, 979, 14
8, 2, 30
200, 1627, 20
1555, 1042, 23
592, 629, 11
1058, 166, 25
591, 1194, 26
1039, 259, 23
1772, 89, 20
408, 218, 16
9, 2000, 30
1704, 1684, 11
446, 1822, 24
618, 538, 24
1092, 1684, 17
1179, 1803, 26
1720, 897, 28
953, 1149, 10
1284, 77, 23
9, 1999, 30
603, 461, 18
568, 1558, 27
1720, 1616, 17
1630, 855, 17
1709, 1696, 20
39, 713, 19
1991, 1543, 18
1529, 515, 23
893, 645, 28
1160, 1077, 15
9, 2, 30
1508, 1859, 17
1394, 612, 10
1797, 1063, 12
10, 2000, 30
434, 1276, 10
652, 951, 14
299, 1495, 30
611, 1846, 19
76, 1077, 20
10, 1999, 30
393, 1682, 26
962, 1357, 15
40, 153, 26
1706, 1105, 23
1230, 1652, 16
496, 14, 19
10, 2, 30
1955, 591, 26
495, 1083, 19
1158, 1469, 11
518, 543, 11
1927, 608, 16
1171, 576, 12
11, 2000, 30
504, 339, 11
1700, 1498, 10
1069, 712, 13
1518, 489, 20
384, 1198, 17
11, 1999, 30
1336, 1793, 17
1089, 1573, 21
367, 116, 25
659, 823, 28
730, 1334, 29
144, 513, 29
1986, 691, 17
98, 1693, 19
1341, 814, 23
11, 2, 30
1042, 1971, 23
363, 375, 14
1145, 1382, 18
16, 489, 19
1899, 1192, 11
12, 2000, 30
1555, 1541, 29
1824, 1968, 17
236, 568, 22
398, 23, 10
12, 1999, 30
1646, 1970, 18
1366, 365, 16
498, 687, 15
233, 410, 21
665, 571, 21
1387, 1836, 17
12, 2, 30
165, 167, 12
53, 1856, 18
271, 258, 14
1375, 1089, 28
1148, 1922, 29
13, 2000, 30
405, 1383, 10
197, 1090, 28
1773, 1768, 29
368, 1369, 30
941, 201, 23
921, 636, 25
13, 1999, 30
1041, 1187, 19
1401, 1808, 27
1080, 808, 20
501, 917, 28
1799, 20, 26
1710, 21, 26
2, 372, 10
1590, 1632, 22
13, 2, 30
330, 1970, 26
1704, 498, 24
1792, 1291, 16
1957, 177, 21
1196, 1292, 20
14, 2000, 30
190, 672, 19
1699, 913, 21
757, 316, 16
14, 1999, 30
1351, 1904, 11
1781, 509, 10
1474, 1888, 20
593, 253, 10
500, 1416, 10
14, 2, 30
975, 561, 28
1788, 1477, 11
897, 11, 14
502, 1646, 15
1105, 730, 16
15, 2000, 30
960, 391, 20
1773, 974, 12
1955, 246, 26
1774, 1577, 17
289, 492, 29
1521, 94, 18
164, 1279, 17
1985, 1238, 11
1249, 764, 15
15, 1999, 30
912, 13, 21
1876, 893, 30
746, 1504, 28
968, 1801, 15
641, 1639, 11
1954, 1058, 21
1768, 1450, 28
1333, 519, 23
671, 358, 25
439, 565, 17
15, 2, 30
1182, 820, 26
1359, 754, 10
913, 70, 22
16, 2000, 30
1593, 517, 16
1810, 1863, 29
1856, 1343, 11
1016, 534, 13
16, 1999, 30
1570, 1794, 19
1924, 723, 13
1199, 192, 11
468, 1774, 29
1134, 91, 15
1468, 832, 15
16, 2, 30
1204, 1586, 14
490, 922, 21
1220, 1505, 18
982, 1815, 28
1322, 287, 16
650, 1979, 23
43, 929, 10
1714, 1009, 12
1634, 922, 21
125, 1204, 16
17, 2000, 30
74, 21, 24
1466, 371, 28
1641, 337, 11
928, 1133, 17
1088, 980, 11
525, 1656, 12
1872, 654, 29
1605, 144, 29
17, 1999, 30
168, 899, 29
1271, 965, 25
1645, 763, 19
1033, 1710, 22
1916, 1226, 20
1887, 929, 29
841, 1273, 10
802, 111, 19
17, 2, 30
1611, 1886, 23
927, 208, 21
897, 1066, 24
1546, 1497, 11
1394, 318, 27
18, 2000, 30
1817, 196, 14
1316, 1148, 17
321, 1505, 15
18, 1999, 30
1309, 639, 20
700, 1775, 12
1543, 33, 19
1361, 1130, 15
590, 1632, 30
18, 2, 30
980, 786, 14
1001, 1975, 24
1357, 1321, 16
854, 749, 27
985, 651, 18
1251, 1720, 11
1778, 680, 16
158, 445, 19
38, 1159, 11
1818, 327, 19
19, 2000, 30
94, 245, 20
880, 647, 14
1835, 1861, 20
889, 1726, 23
969, 1561, 17
680, 1774, 17
278, 1864, 20
548, 1819, 29
1900, 947, 19
308, 1167, 24
19, 1999, 30
518, 603, 18
1695, 533, 10
1302, 1129, 14
117, 238, 21
19, 2, 30
1724, 1609, 15
1919, 242, 10
978, 118, 14
1627, 1720, 20
1436, 1156, 17
20, 2000, 30
629, 1464, 19
1138, 1421, 30
666, 1754, 15
1045, 1766, 27
826, 568, 25
1486, 550, 29
855, 826, 26
173, 1740, 21
20, 1999, 30
591, 1669, 23
1793, 1340, 17
862, 442, 12
1116, 1035, 29
1955, 88, 17
855, 832, 23
99, 729, 21
20, 2, 30
1767, 848, 10
815, 490, 27
1051, 766, 18
1539, 128, 30
1108, 1958, 27
263, 1063, 14
1439, 486, 10
625, 1874, 27
51, 100, 29
520, 1508, 17
21, 2000, 30
247, 1372, 22
382, 607, 26
760, 586, 18
630, 1277, 24
789, 1374, 28
1327, 1578, 19
164, 718, 12
247, 12, 22
283, 586, 19
21, 1999, 30
507, 56, 15
413, 1176, 19
1246, 423, 24
270, 1589, 24
1039, 376, 18
21, 2, 30
882, 1264, 21
1207, 1098, 24
1971, 1222, 26
101, 317, 30
148, 263, 21
1590, 842, 15
896, 67, 27
717, 177, 19
1699, 692, 23
22, 2000, 30
514, 1586, 28
1138, 1168, 14
672, 1122, 19
1650, 525, 19
1729, 1472, 13
1982, 1022, 12
578, 1224, 23
1369, 1295, 28
22, 1999, 30
1782, 748, 23
1784, 1370, 13
1664, 739, 11
1191, 1820, 11
22, 2, 30
922, 195, 15
488, 809, 16
819, 82, 22
469, 687, 14
1401, 1593, 14
1591, 1976, 10
1627, 246, 28
1798, 1934, 11
1771, 1318, 27
532, 527, 30
23, 2000, 30
382, 1172, 14
749, 433, 30
358, 125, 21
1929, 805, 19
360, 1106, 17
1604, 1026, 19
37, 1494, 24
73, 6, 11
114, 1652, 21
23, 1999, 30
403, 830, 30
1164, 1701, 21
108, 457, 16
481, 364, 30
1091, 1018, 18
23, 2, 30
1331, 394, 25
1532, 1938, 18
477, 450, 26
24, 2000, 30
1826, 1748, 20
1260, 983, 29
150, 1072, 29
1102, 303, 13
218, 1541, 16
1534, 827, 12
1525, 1951, 20
24, 1999, 30
1960, 1342, 14
1988, 1074, 12
