903, 903
1, 1, 16
173, 403, 30
169, 211, 13
739, 808, 21
581, 75, 25
782, 676, 14
163, 626, 29
25, 528, 21
893, 566, 16
382, 127, 26
2, 903, 30
407, 483, 29
196, 558, 15
562, 851, 27
172, 546, 18
896, 497, 12
159, 620, 24
282, 339, 29
2, 902, 30
790, 542, 20
287, 170, 26
216, 487, 26
2, 2, 30
372, 53, 27
136, 799, 15
349, 44, 23
37, 697, 27
706, 518, 27
223, 469, 20
80, 355, 30
364, 236, 14
860, 602, 19
3, 903, 30
468, 587, 21
806, 320, 11
404, 792, 12
444, 400, 22
816, 172, 17
454, 38, 17
181, 356, 25
323, 179, 30
898, 784, 23
13, 820, 22
3, 902, 30
167, 656, 21
875, 245, 26
499, 123, 23
872, 203, 25
138, 341, 14
241, 846, 27
138, 455, 27
3, 2, 30
768, 736, 21
106, 407, 12
207, 522, 24
864, 835, 29
585, 324, 26
643, 78, 12
4, 903, 30
53, 263, 21
94, 644, 26
45, 512, 30
642, 689, 23
34, 756, 24
167, 162, 15
503, 139, 17
4, 902, 30
759, 163, 17
220, 12, 26
582, 540, 18
4, 2, 30
646, 565, 21
632, 461, 27
363, 2, 30
652, 619, 14
629, 343, 25
549, 185, 22
841, 739, 18
207, 17, 24
289, 50, 26
5, 903, 30
809, 117, 26
47, 560, 23
676, 291, 10
68, 38, 26
345, 316, 11
5, 902, 30
25, 525, 16
458, 866, 30
693, 643, 17
81, 353, 22
470, 431, 25
65, 516, 12
191, 642, 10
866, 823, 25
5, 2, 30
506, 728, 22
174, 879, 18
872, 693, 15
6, 903, 30
102, 3, 22
200, 434, 17
408, 797, 15
842, 265, 17
105, 174, 21
298, 370, 24
6, 902, 30
199, 12, 27
382, 648, 17
442, 443, 28
429, 215, 21
321, 543, 17
873, 646, 27
472, 442, 27
6, 2, 30
98, 300, 29
534, 874, 27
177, 656, 16
468, 704, 24
438, 218, 15
602, 835, 28
520, 231, 11
7, 903, 30
412, 162, 17
341, 302, 17
78, 570, 23
525, 108, 26
308, 557, 24
838, 449, 19
588, 555, 24
608, 101, 12
222, 57, 26
7, 902, 30
77, 243, 19
473, 202, 25
789, 41, 18
597, 456, 17
854, 795, 21
7, 2, 30
334, 805, 26
637, 783, 14
292, 251, 11
580, 222, 27
511, 147, 24
8, 903, 30
858, 472, 19
519, 784, 19
459, 563, 23
249, 45, 18
470, 755, 17
8, 902, 30
371, 224, 16
62, 833, 14
445, 302, 18
501, 227, 10
362, 836, 17
447, 170, 25
652, 761, 26
501, 821, 10
707, 724, 13
582, 76, 10
8, 2, 30
137, 798, 21
382, 84, 19
304, 766, 21
407, 863, 21
109, 427, 25
390, 660, 25
688, 146, 15
9, 903, 30
317, 584, 11
155, 127, 13
157, 833, 16
307, 443, 19
9, 902, 30
272, 171, 17
117, 373, 28
693, 293, 20
354, 782, 12
362, 422, 25
636, 557, 15
475, 588, 27
670, 876, 26
