51, 49
1, 1, 11
35, 38, 10
30, 36, 11
3, 45, 28
33, 22, 13
5, 41, 21
44, 29, 16
18, 15, 29
19, 19, 28
45, 35, 29
15, 11, 29
37, 14, 22
38, 29, 10
6, 39, 23
15, 17, 12
9, 49, 18
42, 47, 23
36, 25, 24
27, 28, 21
20, 36, 17
32, 37, 26
18, 39, 29
17, 18, 13
43, 16, 25
47, 4, 11
23, 29, 19
34, 18, 22
19, 26, 19
18, 15, 21
24, 16, 16
6, 27, 28
4, 49, 25
21, 42, 30
31, 45, 25
22, 34, 15
43, 26, 10
47, 4, 14
27, 48, 21
36, 22, 18
38, 34, 12
19, 25, 23
46, 3, 14
48, 26, 10
3, 16, 19
43, 48, 23
33, 11, 24
10, 48, 13
10, 49, 17
40, 29, 15
41, 17, 17
31, 18, 13
14, 36, 19
44, 45, 13
45, 16, 25
28, 25, 11
35, 16, 18
31, 39, 11
3, 40, 17
4, 18, 10
21, 15, 20
26, 39, 18
42, 36, 17
12, 47, 29
20, 48, 19
10, 31, 27
26, 48, 29
51, 45, 21
10, 26, 14
14, 34, 27
29, 42, 18
5, 19, 21
49, 40, 23
21, 5, 29
26, 3, 18
38, 42, 27
34, 33, 24
21, 7, 26
