8000, 8000
1, 1, 20
4096, 2469, 17
4956, 6514, 14
3743, 791, 15
2, 8000, 30
6652, 5480, 13
482, 4907, 15
5573, 1282, 27
6677, 2746, 10
5256, 2635, 17
6809, 7237, 30
6842, 1682, 10
6022, 2503, 18
2, 7999, 30
19, 4176, 13
4105, 6264, 18
6207, 4379, 28
1485, 3395, 14
2, 2, 30
6094, 7836, 24
5403, 4636, 25
7410, 4194, 17
4974, 5749, 26
5331, 1856, 18
6595, 5699, 12
3762, 3114, 17
858, 7823, 28
3, 8000, 30
5379, 1646, 26
6476, 1832, 30
6068, 7078, 23
5378, 954, 20
2752, 2509, 26
3, 7999, 30
3034, 5557, 20
3243, 3435, 23
2762, 197, 25
6852, 4320, 26
3094, 3981, 10
5585, 3439, 13
5466, 3464, 23
3, 2, 30
7968, 792, 25
1957, 6258, 21
3032, 4552, 15
3422, 3632, 15
2777, 2867, 16
4, 8000, 30
280, 3921, 19
7060, 1498, 17
1762, 131, 10
871, 4809, 20
4, 7999, 30
1873, 7356, 15
6474, 4780, 23
4553, 5066, 28
4, 2, 30
3588, 3838, 12
3681, 4803, 13
3044, 2440, 21
7832, 1821, 24
2468, 5598, 22
1969, 2821, 17
7650, 555, 18
5, 8000, 30
3525, 1851, 11
604, 3499, 21
4102, 6023, 29
4037, 5192, 30
3307, 4700, 20
3685, 6588, 10
2140, 1289, 21
5, 7999, 30
2701, 6768, 29
2581, 1720, 26
930, 7041, 10
5174, 6861, 17
5, 2, 30
526, 5751, 29
1249, 1944, 26
5871, 1238, 10
2920, 2910, 11
1873, 1100, 16
6, 8000, 30
7880, 174, 19
6940, 5059, 29
6251, 83, 17
6, 7999, 30
5276, 2116, 22
4237, 3861, 19
7065, 1961, 13
6, 2, 30
2230, 7445, 15
7219, 2812, 29
7053, 4222, 12
7, 8000, 30
1388, 2154, 22
2339, 7478, 22
2757, 5858, 13
1595, 2867, 26
1654, 5131, 22
6218, 1360, 17
7071, 2467, 17
7, 7999, 30
3550, 6377, 18
3283, 7421, 13
3659, 6302, 22
7, 2, 30
7423, 3189, 18
1464, 2064, 22
7312, 4089, 14
6648, 5063, 18
3259, 5499, 14
3538, 6437, 23
7436, 6787, 27
8, 8000, 30
6173, 6925, 29
4734, 5868, 18
2902, 5218, 17
8, 7999, 30
5758, 4045, 22
5413, 6624, 11
7538, 2634, 14
3466, 7687, 27
6421, 3994, 27
4301, 7813, 17
4941, 4164, 25
7189, 5510, 23
1677, 7640, 16
4770, 5042, 29
8, 2, 30
2691, 4343, 22
2161, 2167, 20
1270, 1942, 10
9, 8000, 30
5146, 4793, 21
4844, 5650, 21
6500, 2557, 13
6379, 1825, 29
6505, 4021, 12
9, 7999, 30
2234, 3696, 25
2815, 5941, 25
6293, 413, 17
9, 2, 30
7560, 4800, 27
1889, 7927, 26
1645, 6532, 28
6443, 3376, 26
4369, 6226, 29
6344, 5219, 30
1627, 6788, 29
7686, 4495, 19
2803, 1566, 30
5023, 71, 28
10, 8000, 30
3610, 3024, 25
2071, 2897, 14
7426, 1644, 20
6124, 4588, 14
10, 7999, 30
7825, 4462, 11
4974, 3993, 23
4581, 7698, 25
4444, 1735, 10
57, 368, 18
671, 5579, 23
10, 2, 30
3497, 435, 18
760, 7436, 25
5677, 6590, 11
2205, 1386, 27
5313, 2511, 30
2989, 3660, 19
4804, 7100, 19
2396, 3686, 22
4403, 1888, 21
573, 6340, 30
11, 8000, 30
2572, 3281, 23
284, 7484, 26
6254, 596, 24
2144, 2278, 20
6537, 4713, 22
7083, 2889, 16
4616, 4946, 24
11, 7999, 30
1657, 3534, 15
4456, 4857, 27
5372, 6934, 18
5639, 5127, 11
1577, 1841, 25
2036, 186, 17
11, 2, 30
7721, 7034, 26
4449, 338, 22
7723, 2460, 11
2108, 461, 19
2873, 894, 25
4107, 3271, 18
1912, 5716, 28
442, 3205, 29
4754, 3973, 15
2924, 4406, 25
12, 8000, 30
3315, 3206, 23
4278, 2524, 21
7184, 3990, 26
1517, 5624, 15
12, 7999, 30
2005, 6258, 30
3425, 95, 21
3534, 6074, 15
4589, 6593, 23
3827, 4388, 23
7015, 3367, 17
4933, 4156, 23
2551, 3526, 10
7435, 4990, 13
12, 2, 30
3314, 4493, 17
2693, 5506, 26
4399, 2292, 28
5217, 2201, 13
3026, 5113, 16
1688, 1768, 15
13, 8000, 30
6602, 1897, 23
3135, 7841, 17
4238, 2984, 23
7711, 1855, 14
5898, 1805, 27
5888, 4685, 27
13, 7999, 30
1095, 1110, 18
3301, 5231, 28
7886, 239, 22
4292, 2050, 29
6390, 3237, 17
13, 2, 30
720, 938, 17
3881, 3953, 27
6134, 5650, 22
3319, 5948, 25
14, 8000, 30
5675, 3530, 26
6672, 1492, 28
3357, 2606, 19
6535, 6159, 15
7570, 6800, 24
7027, 4418, 14
5824, 3156, 17
7845, 2094, 15
6806, 6486, 10
14, 7999, 30
3226, 3284, 18
5601, 1418, 14
67, 6651, 27
6688, 7573, 30
6699, 5252, 19
2267, 6427, 17
6544, 6191, 29
7498, 4849, 26
1874, 2105, 26
14, 2, 30
3655, 6735, 16
5558, 2746, 22
2075, 4261, 30
4058, 5101, 10
2633, 4756, 11
3049, 7411, 20
1401, 2445, 30
2906, 7234, 23
4118, 2035, 27
15, 8000, 30
1016, 4425, 28
7250, 3997, 22
324, 3582, 18
15, 7999, 30
1368, 4506, 23
1684, 4064, 22
2185, 745, 11
3142, 2233, 25
7405, 3107, 12
4050, 5805, 13
15, 2, 30
162, 5009, 28
4811, 3472, 29
4532, 1969, 20
4503, 5678, 10
4821, 2061, 11
16, 8000, 30
3184, 1925, 17
3911, 4156, 12
7875, 7266, 18
7896, 1808, 24
3833, 5218, 30
5021, 5796, 17
5899, 2870, 29
16, 7999, 30
6059, 705, 22
7483, 2229, 14
6978, 5275, 18
647, 3965, 22
5372, 5194, 10
2362, 6273, 14
4448, 4374, 30
6743, 1186, 26
16, 2, 30
4534, 345, 21
3799, 987, 25
4543, 7969, 24
825, 1063, 20
850, 5658, 26
4009, 968, 20
5274, 5527, 14
2798, 2011, 20
