49, 51
1, 1, 10
46, 33, 15
35, 45, 13
39, 6, 26
41, 38, 11
19, 44, 28
26, 27, 23
48, 9, 19
47, 45, 18
14, 17, 10
7, 14, 23
40, 29, 16
4, 15, 24
48, 13, 28
41, 27, 12
4, 38, 14
11, 27, 19
28, 35, 17
48, 3, 18
22, 42, 16
5, 45, 22
20, 11, 24
10, 13, 20
26, 9, 18
27, 19, 20
46, 41, 26
7, 18, 11
22, 10, 18
5, 20, 13
7, 37, 13
11, 41, 11
24, 17, 11
44, 48, 20
4, 6, 23
40, 44, 20
38, 49, 20
5, 28, 17
30, 35, 20
12, 31, 15
33, 41, 29
25, 17, 20
24, 42, 29
4, 51, 26
2, 6, 11
37, 21, 26
32, 4, 26
40, 3, 21
38, 27, 12
16, 27, 13
25, 9, 23
24, 47, 18
23, 50, 11
10, 4, 11
6, 4, 18
25, 38, 23
31, 17, 28
4, 42, 22
4, 41, 16
42, 11, 26
6, 34, 10
20, 10, 18
44, 47, 22
13, 10, 27
38, 25, 26
42, 38, 21
32, 9, 11
34, 45, 18
31, 15, 22
16, 50, 18
22, 15, 26
30, 16, 14
18, 22, 19
22, 38, 14
4, 23, 10
5, 29, 23
25, 35, 27
5, 50, 27
22, 23, 19
6, 34, 22
